Season,Round,name,Date,Time,Sprint,Circuit
2023,1,Bahrain Grand Prix,05/03/2023,15:00:00Z,-,Bahrain International Circuit
2023,2,Saudi Arabian Grand Prix,19/03/2023,17:00:00Z,-,Jeddah Corniche Circuit
2023,3,Australian Grand Prix,02/04/2023,05:00:00Z,-,Albert Park Grand Prix Circuit
2023,4,Azerbaijan Grand Prix,30/04/2023,11:00:00Z,29/04/2023,Baku City Circuit
2023,5,Miami Grand Prix,07/05/2023,19:30:00Z,-,Miami International Autodrome
2023,6,Monaco Grand Prix,28/05/2023,13:00:00Z,-,Circuit de Monaco
2023,7,Spanish Grand Prix,04/06/2023,13:00:00Z,-,Circuit de Barcelona-Catalunya
2023,8,Canadian Grand Prix,18/06/2023,18:00:00Z,-,Circuit Gilles Villeneuve
2023,9,Austrian Grand Prix,02/07/2023,13:00:00Z,01/07/2023,Red Bull Ring
2023,10,British Grand Prix,09/07/2023,14:00:00Z,-,Silverstone Circuit
2023,11,Hungarian Grand Prix,23/07/2023,13:00:00Z,-,Hungaroring
2023,12,Belgian Grand Prix,30/07/2023,13:00:00Z,29/07/2023,Circuit de Spa-Francorchamps
2023,13,Dutch Grand Prix,27/08/2023,13:00:00Z,-,Circuit Park Zandvoort
2023,14,Italian Grand Prix,03/09/2023,13:00:00Z,-,Autodromo Nazionale di Monza
2023,15,Singapore Grand Prix,17/09/2023,12:00:00Z,-,Marina Bay Street Circuit
2023,16,Japanese Grand Prix,24/09/2023,05:00:00Z,-,Suzuka Circuit
2023,17,Qatar Grand Prix,08/10/2023,14:00:00Z,07/10/2023,Losail International Circuit
2023,18,United States Grand Prix,22/10/2023,19:00:00Z,21/10/2023,Circuit of the Americas
2023,19,Mexico City Grand Prix,29/10/2023,20:00:00Z,-,Autódromo Hermanos Rodríguez
2023,20,São Paulo Grand Prix,05/11/2023,17:00:00Z,04/11/2023,Autódromo José Carlos Pace
2023,21,Las Vegas Grand Prix,19/11/2023,06:00:00Z,-,Las Vegas Strip Street Circuit
2023,22,Abu Dhabi Grand Prix,26/11/2023,13:00:00Z,-,Yas Marina Circuit
